;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Gesamt
2000;1070;899;1059;816;1142;850;1161;1200;992;1037;1138;830;12194
2001;1022;1172;980;923;1195;803;1174;1101;924;1110;999;766;12169
2002;1214;949;876;1017;926;1101;1194;1049;1102;1158;959;853;12398
2003;1284;980;1046;942;1077;1011;1242;1011;1029;1149;1129;873;12773
2004;1128;868;1189;995;866;1121;1088;1232;1104;1048;1087;981;12707
2005;965;1044;1043;1133;1115;1216;1079;1083;1179;1176;1184;979;13196
2006;1048;925;1152;866;985;1229;1221;1368;954;1193;1144;942;13027
2007;1261;962;1198;1032;1144;1093;1247;1330;1020;1214;1256;895;13652
2008;1359;1120;1061;1332;987;1237;1335;1018;1171;1440;1060;921;14041
2009;1236;1151;1193;1077;1221;1185;1270;1183;1269;1353;1132;1036;14306
2010;1149;1203;1254;1136;1055;1287;1163;1174;1246;1249;1277;1173;14366
2011;1190;1144;1354;954;1306;1028;1411;1330;1311;1270;1194;1222;14714
2012;1190;1189;1402;1147;1190;1300;1353;1495;1241;1584;1182;819;15092
2013;1713;1158;1171;1297;1227;1286;1592;1394;1286;1422;1321;1084;15951
2014;1523;1163;1137;1471;1331;1421;1527;1240;1697;1515;1288;1137;16450
2015;1581;988;1320;1649;1079;1549;1473;1472;1911;1545;1300;1276;17143
