Monat,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
1,1070,1022,1214,1284,1128,965,1048,1261,1359,1236,1149,1190,1190,1713,1523,1581
2,899,1172,949,980,868,1044,925,962,1120,1151,1203,1144,1189,1158,1163,988
3,1059,980,876,1046,1189,1043,1152,1198,1061,1193,1254,1354,1402,1171,1137,1320
4,816,923,1017,942,995,1133,866,1032,1332,1077,1136,954,1147,1297,1471,1649
5,1142,1195,926,1077,866,1115,985,1144,987,1221,1055,1306,1190,1227,1331,1079
6,850,803,1101,1011,1121,1216,1229,1093,1237,1185,1287,1028,1300,1286,1421,1549
7,1161,1174,1194,1242,1088,1079,1221,1247,1335,1270,1163,1411,1353,1592,1527,1473
8,1200,1101,1049,1011,1232,1083,1368,1330,1018,1183,1174,1330,1495,1394,1240,1472
9,992,924,1102,1029,1104,1179,954,1020,1171,1269,1246,1311,1241,1286,1697,1911
10,1037,1110,1158,1149,1048,1176,1193,1214,1440,1353,1249,1270,1584,1422,1515,1545
11,1138,999,959,1129,1087,1184,1144,1256,1060,1132,1277,1194,1182,1321,1288,1300
12,830,766,853,873,981,979,942,895,921,1036,1173,1222,819,1084,1137,1276
